"zip","Loss"
"00000",242486.0639
"01001",1497667.9581
"01002",543454.3661
"01003",301.322
"01005",97036.4969
"01007",145374.2035
"01008",8554.5703
"01010",61368.3457
"01011",12484.5642
"01012",2901.1022
"01013",436518.9853
"01014",17186.0571
"01020",545888.0794
"01022",39853.3211
"01026",12977.7214
"01027",295411.2705
"01028",1488439.8299
"01030",513354.097
"01031",9336.7148
"01032",6839.7704
"01033",79182.3132
"01034",28601.3958
"01035",293156.6815
"01036",93399.5269
"01038",22502.6928
"01039",947848.5347
"01040",870424.3708
"01041",21092.4068
"01050",27576.6294
"01053",12756.8722
"01054",9195.441
"01056",497855.3886
"01057",168044.872
"01060",335169.856
"01062",117107.9707
"01063",704.4645
"01066",493.496
"01068",29335.5828
"01069",112193.7476
"01070",4894.3334
"01071",9778.4948
"01072",11050.1781
"01073",55895.8043
"01075",300452.9581
"01077",139295.5128
"01080",9582.7863
"01081",18158.9795
"01082",154984.8649
"01084",49.3265
"01085",1107655.0291
"01088",8993.1077
"01089",985308.5214
"01092",6667.504
"01095",610895.2022
"01096",11671.3107
"01098",8576.4528
"01103",1020148.8512
"01104",401558.0435
"01105",308745.5772
"01106",288198.2072
"01107",170043.378
"01108",455889.518
"01109",602381.1354
"01111",1064079.5573
"01118",246789.654
"01119",421560.6833
"01128",68447.0139
"01129",454808.4327
"01144",533.9125
"01151",83525.9773
"01201",577140.5603
"01220",61557.8506
"01222",5079.6749
"01223",48872.2249
"01224",2090.6518
"01225",20484.6553
"01226",64528.1814
"01230",136450.0127
"01235",32321.9959
"01236",5882.7589
"01237",160386.8101
"01238",170571.109
"01240",84406.8347
"01243",4289.658
"01245",13440.7288
"01247",129657.4417
"01253",31021.1171
"01254",16041.3695
"01255",10064.3355
"01256",6247.2187
"01257",39344.2464
"01258",7913.4601
"01259",32586.0895
"01262",29229.6087
"01266",15204.5289
"01267",45545.6027
"01270",13988.4776
"01301",273167.6722
"01330",10181.7102
"01331",123224.2636
"01337",19713.721
"01338",4166.6651
"01339",5914.9001
"01340",7751.2878
"01341",26383.4319
"01342",83472.6055
"01343",1899.6163
"01344",7815.3782
"01346",2901.9313
"01349",5468.553
"01350",95.084
"01351",45317.9296
"01354",6706.6901
"01355",3828.5821
"01360",19140.4367
"01364",174546.5063
"01366",9092.5728
"01367",1906.7135
"01368",7305.886
"01370",32914.6175
"01373",650072.1194
"01375",143360.2288
"01376",58736.5387
"01378",4749.0932
"01379",6138.0626
"01420",1016877.7592
"01430",79561.215
"01431",40427.8021
"01432",176146.0673
"01434",459881.2695
"01436",45929.2229
"01440",472678.8389
"01450",200091.8577
"01451",116749.2154
"01452",56050.5878
"01453",1842353.6039
"01460",1852672.9546
"01462",173358.161
"01463",160167.8334
"01464",110203.4594
"01468",50144.0289
"01469",104282.0067
"01473",98602.9523
"01474",23083.5137
"01475",144605.6931
"01501",1661780.4032
"01503",156927.7951
"01504",145432.0436
"01505",83857.0628
"01506",43785.9577
"01507",886393.4967
"01510",268375.8762
"01515",32587.3572
"01516",119158.0498
"01518",39437.8082
"01519",125099.6136
"01520",355190.2759
"01521",47742.0269
"01522",32685.0807
"01523",162519.6703
"01524",152871.2577
"01527",567912.8786
"01529",44067.9902
"01531",8377.1361
"01532",2331653.2693
"01534",90721.0521
"01535",84000.447
"01536",188041.8581
"01537",30397.1721
"01540",431176.9714
"01541",58775.2426
"01542",35397.8628
"01543",133305.1587
"01545",1366752.1426
"01550",405284.0165
"01560",62200.5785
"01562",234570.6642
"01564",168052.7348
"01566",630868.3147
"01568",152743.0108
"01569",261799.9677
"01570",658675.0451
"01571",140698.8402
"01581",4436500.1711
"01583",289905.079
"01585",136544.7312
"01588",170200.586
"01590",135966.5858
"01602",651256.3221
"01603",392846.4412
"01604",1149490.2103
"01605",1671469.5327
"01606",811820.3298
"01607",226875.1298
"01608",144350.2498
"01609",916139.8025
"01610",459040.9373
"01611",20088.7486
"01612",56054.9442
"01701",1385769.6284
"01702",3570896.8543
"01704",7678.7963
"01718",3896.6875
"01719",235124.3654
"01720",991113.5085
"01721",572595.4294
"01730",2356505.1403
"01731",4716.5349
"01740",107106.1296
"01741",132711.9382
"01742",561091.7449
"01745",14352.8579
"01746",394664.0642
"01747",190690.2136
"01748",617721.1893
"01749",564745.2716
"01752",5112523.9105
"01754",571875.6904
"01756",98935.9917
"01757",1514051.2823
"01760",3735355.6365
"01770",112379.7348
"01772",369470.46
"01773",452776.7747
"01775",142218.6266
"01776",1374337.1562
"01778",473705.163
"01801",3734484.9524
"01803",6340156.3436
"01810",8155280.9052
"01821",3051419.8594
"01824",1969748.0938
"01826",429551.4497
"01827",52706.7738
"01830",751227.2874
"01832",682812.6846
"01833",189945.6243
"01834",124735.3739
"01835",576784.7176
"01840",548357.9007
"01841",525700.5901
"01843",658385.4138
"01844",1594915.1521
"01845",2088596.7398
"01850",240850.8365
"01851",485733.7081
"01852",880080.5861
"01854",1432780.0668
"01860",68543.6818
"01862",1128062.4124
"01863",199504.1824
"01864",393183.6636
"01867",873167.0983
"01876",2324858.7774
"01879",319964.3301
"01880",691177.7905
"01886",979497.871
"01887",1382035.1414
"01890",463010.3942
"01901",791667.962
"01902",1516887.1263
"01904",816573.7614
"01905",728656.8549
"01906",2728350.1484
"01907",1113878.2829
"01908",234580.2001
"01910",2078748.2871
"01913",482869.2402
"01915",1854319.9302
"01921",105424.8742
"01922",21994.8878
"01923",2538592.9776
"01929",87334.6896
"01930",2187182.1507
"01931",34071.4637
"01938",378758.4516
"01940",454450.8795
"01944",335115.3438
"01945",1071197.6503
"01949",164811.5516
"01950",888709.5384
"01951",46655.6577
"01952",290162.9529
"01960",4900822.6875
"01966",682428.9387
"01969",116997.0557
"01970",3868075.65
"01982",137597.8161
"01983",96548.6637
"01984",79066.4231
"01985",79043.076
"02019",617855.2391
"02021",1313931.383
"02025",535144.2676
"02026",1499100.6917
"02030",126359.7335
"02032",229022.1967
"02035",850174.4828
"02038",2919912.4482
"02043",1315846.1482
"02045",760482.8631
"02048",2077108.7291
"02050",939512.7649
"02052",262923.9604
"02053",277409.7986
"02054",138672.1496
"02056",220920.7506
"02061",360169.084
"02062",1227751.8417
"02066",887393.0103
"02067",532887.2119
"02071",10990.9564
"02072",1550669.8037
"02081",548167.1858
"02090",720309.9918
"02093",1038249.8138
"02108",1995647.5315
"02109",6215843.6293
"02110",15549131.1593
"02111",6477879.5898
"02113",82965.4221
"02114",5282566.8446
"02115",5691078.95
"02116",9696858.7299
"02118",1789880.3963
"02119",7855615.8221
"02120",961111.8452
"02121",2108113.8091
"02122",1579751.4771
"02124",2790170.3816
"02125",1582779.3109
"02126",785036.5404
"02127",1876727.4697
"02128",2732399.0828
"02129",8211444.0013
"02130",897736.445
"02131",1121545.8311
"02132",906327.353
"02134",185933.214
"02135",1200043.5895
"02136",623309.8308
"02138",1929864.7892
"02139",5310899.0592
"02140",1207716.3767
"02141",3665679.2484
"02142",6125251.1752
"02143",898166.1871
"02144",373217.9076
"02145",775114.4882
"02148",1899784.8149
"02149",1553423.3081
"02150",3279836.9179
"02151",2713879.9288
"02152",976385.4404
"02153",1.5482
"02155",1963738.8193
"02163",276.4413
"02169",4619704.222
"02170",451952.7499
"02171",783051.452
"02176",1810088.0943
"02180",470051.5834
"02184",5824452.3001
"02186",759153.5548
"02188",460498.1462
"02189",693451.9466
"02190",371460.3995
"02191",530354.7648
"02199",5048252.434
"02210",4270351.8942
"02215",572439.1817
"02301",1695676.3184
"02302",1141868.477
"02322",339603.6721
"02324",955403.4404
"02325",23.3415
"02330",140914.1222
"02332",490235.135
"02333",248549.0351
"02338",85032.0681
"02339",526410.6967
"02341",172663.4136
"02343",225507.8601
"02346",409013.5156
"02347",157950.001
"02351",859685.554
"02356",310694.1352
"02359",484311.5694
"02360",2131062.8613
"02362",11756.8618
"02364",669966.8084
